"pais","toneladas_metricas_co2","region"
"Northern Mariana Islands","0.0","Australia and Oceania"
"Norway","36,731,000.0","Europe"
"Oman","76,321,000.0","Middle East"
"Pakistan","193,869,000.0","South Asia"
"Panama","25,263,000.0","Central America and the Caribbean"
"Papua New Guinea","6,491,000.0","East and Southeast Asia"
"Paraguay","7,896,000.0","South America"
"Peru","54,996,000.0","South America"
"Philippines","142,282,000.0","East and Southeast Asia"
"Poland","304,040,000.0","Europe"
"Portugal","50,370,000.0","Europe"
"Puerto Rico","18,999,000.0","Central America and the Caribbean"
"Qatar","111,922,000.0","Middle East"
"Romania","68,746,000.0","Europe"
"Russia","1,848,070,000.0","Central Asia"
"Rwanda","1,189,000.0","Africa"
"Saint Helena, Ascension, and Tristan da Cunha","13,000.0","Africa"
"Saint Kitts and Nevis","268,000.0","Central America and the Caribbean"
"Saint Lucia","659,000.0","Central America and the Caribbean"
"Saint Pierre and Miquelon","84,000.0","North America"
"Saint Vincent and the Grenadines","202,000.0","Central America and the Caribbean"
"Samoa","355,000.0","Australia and Oceania"
"Sao Tome and Principe","173,000.0","Africa"
"Saudi Arabia","579,925,000.0","Middle East"
"Senegal","10,696,000.0","Africa"
"Serbia","47,735,000.0","Europe"
"Seychelles","1,156,000.0","Africa"
"Sierra Leone","899,000.0","Africa"
"Singapore","238,983,000.0","East and Southeast Asia"
"Slovakia","32,506,000.0","Europe"
"Slovenia","13,553,000.0","Europe"
"Solomon Islands","333,000.0","Australia and Oceania"
"Somalia","882,000.0","Africa"
"South Africa","470,358,000.0","Africa"
"South Sudan","1,778,000.0","Africa"
"Spain","280,624,000.0","Europe"
"Sri Lanka","23,939,000.0","South Asia"
"Sudan","17,319,000.0","Africa"
"Suriname","2,372,000.0","South America"
"Sweden","48,144,000.0","Europe"
"Switzerland","38,739,000.0","Europe"
"Syria","26,893,000.0","Middle East"
"Taiwan","279,206,000.0","East and Southeast Asia"
"Tajikistan","7,643,000.0","Central Asia"
"Tanzania","11,491,000.0","Africa"
"Thailand","305,273,000.0","East and Southeast Asia"
"Timor-Leste","538,000.0","East and Southeast Asia"
"Togo","2,244,000.0","Africa"
"Tonga","171,000.0","Australia and Oceania"
"Trinidad and Tobago","39,652,000.0","Central America and the Caribbean"
"Tunisia","23,692,000.0","Africa"
"Turkey (Turkiye)","391,792,000.0","Middle East"
"Turkmenistan","109,037,000.0","Central Asia"
"Turks and Caicos Islands","245,000.0","Central America and the Caribbean"
"Tuvalu","0.0","Australia and Oceania"
"Uganda","5,841,000.0","Africa"
"Ukraine","185,686,000.0","Europe"
"United Arab Emirates","276,236,000.0","Middle East"
"United Kingdom","398,084,000.0","Europe"
"United States","5,144,361,000.0","North America"
"Uruguay","6,450,000.0","South America"
"Uzbekistan","102,965,000.0","Central Asia"
"Vanuatu","225,000.0","Australia and Oceania"
"Venezuela","103,708,000.0","South America"
"Vietnam","249,929,000.0","East and Southeast Asia"
"Virgin Islands","2,438,000.0","Central America and the Caribbean"
"Wake Island","1,275,000.0","Australia and Oceania"
"West Bank","3,341,000.0","Middle East"
"Yemen","10,158,000.0","Middle East"
"Zambia","6,798,000.0","Africa"
"Zimbabwe","7,902,000.0","Africa"
