name,slug,value,date_of_information,ranking,region
"Pakistan","pakistan","29.6","2018 est.","151","South Asia"
"Iraq","iraq","29.5","2012 est.","152","Middle East"
"Afghanistan","afghanistan","29.4","2008","153","South Asia"
"Maldives","maldives","29.3","2019 est.","154","South Asia"
"Sweden","sweden","29.3","2019 est.","155","Europe"
"Netherlands","netherlands","29.2","2019 est.","156","Europe"
"Kosovo","kosovo","29.0","2017 est.","157","Europe"
"Kyrgyzstan","kyrgyzstan","29.0","2020 est.","158","Central Asia"
"Croatia","croatia","28.9","2019 est.","159","Europe"
"Timor-Leste","timor-leste","28.7","2014 est.","160","East and Southeast Asia"
"Kazakhstan","kazakhstan","27.8","2018 est.","161","Central Asia"
"Kiribati","kiribati","27.8","2019 est.","162","Australia and Oceania"
"Denmark","denmark","27.7","2019 est.","163","Europe"
"Finland","finland","27.7","2019 est.","164","Europe"
"Norway","norway","27.7","2019 est.","165","Europe"
"Algeria","algeria","27.6","2011 est.","166","Africa"
"Belgium","belgium","27.2","2019 est.","167","Europe"
"Iceland","iceland","26.1","2017 est.","168","Europe"
"Moldova","moldova","26.0","2019 est.","169","Europe"
"United Arab Emirates","united-arab-emirates","26.0","2018 est.","170","Middle East"
"Ukraine","ukraine","25.6","2020 est.","171","Europe"
"Czechia","czechia","25.3","2019 est.","172","Europe"
"Armenia","armenia","25.2","2020 est.","173","Middle East"
"Belarus","belarus","24.4","2020 est.","174","Europe"
"Slovenia","slovenia","24.4","2019 est.","175","Europe"
"Slovakia","slovakia","23.2","2019 est.","176","Europe"
"Faroe Islands","faroe-islands","22.7","2013 est.","177","Europe"
"Jersey","jersey","0.3","2014 est.","178","Europe"
