"pais","valores","region"
"Saint Helena, Ascension, and Tristan da Cunha",80.7,"Africa"
"Saint Kitts and Nevis",77.33,"Central America and the Caribbean"
"Saint Lucia",79.18,"Central America and the Caribbean"
"Saint Martin",80.8,"Central America and the Caribbean"
"Saint Pierre and Miquelon",81.62,"North America"
"Saint Vincent and the Grenadines",76.93,"Central America and the Caribbean"
"Samoa",75.46,"Australia and Oceania"
"San Marino",84.05,"Europe"
"Sao Tome and Principe",67.39,"Africa"
"Saudi Arabia",76.91,"Middle East"
"Senegal",70.25,"Africa"
"Serbia",75.08,"Europe"
"Seychelles",76.36,"Africa"
"Sierra Leone",59.07,"Africa"
"Singapore",86.51,"East and Southeast Asia"
"Sint Maarten",79.5,"Central America and the Caribbean"
"Slovakia",78.55,"Europe"
"Slovenia",82.02,"Europe"
"Solomon Islands",76.96,"Australia and Oceania"
"Somalia",56.12,"Africa"
"South Africa",65.6,"Africa"
"South Sudan",59.71,"Africa"
"Spain",82.78,"Europe"
"Sri Lanka",78.24,"South Asia"
"Sudan",67.45,"Africa"
"Suriname",72.57,"South America"
"Sweden",82.8,"Europe"
"Switzerland",83.42,"Europe"
"Syria",74.55,"Middle East"
"Taiwan",81.38,"East and Southeast Asia"
"Tajikistan",69.66,"Central Asia"
"Tanzania",70.48,"Africa"
"Thailand",77.91,"East and Southeast Asia"
"Timor-Leste",70.21,"East and Southeast Asia"
"Togo",71.71,"Africa"
"Tonga",77.78,"Australia and Oceania"
"Trinidad and Tobago",76.19,"Central America and the Caribbean"
"Tunisia",77.07,"Africa"
"Turkey (Turkiye)",76.47,"Middle East"
"Turkmenistan",72.11,"Central Asia"
"Turks and Caicos Islands",81.04,"Central America and the Caribbean"
"Tuvalu",68.69,"Australia and Oceania"
"Uganda",69.32,"Africa"
"Ukraine",73.72,"Europe"
"United Arab Emirates",79.75,"Middle East"
"United Kingdom",82.05,"Europe"
"United States",80.75,"North America"
"Uruguay",78.66,"South America"
"Uzbekistan",75.55,"Central Asia"
"Vanuatu",75.4,"Australia and Oceania"
"Venezuela",74.25,"South America"
"Vietnam",75.79,"East and Southeast Asia"
"Virgin Islands",80.49,"Central America and the Caribbean"
"Wallis and Futuna",80.89,"Australia and Oceania"
"West Bank",76.63,"Middle East"
"Yemen",67.83,"Middle East"
"Zambia",66.6,"Africa"
"Zimbabwe",63.79,"Africa"
